scenario_id,test_expectation,error_scenario_code,invoice_number,invoice_date,invoice_type_code,invoice_currency_code,invoice_transaction_type_code,payment_due_date,business_process_type,specification_identifier,payment_means_type_code,seller_name,seller_electronic_address,seller_electronic_identifier,seller_legal_registration_identifier,seller_legal_registration_identifier_type,seller_tax_registration_identifier,seller_tax_scheme_code,seller_address_line_1,seller_city,seller_country_subdivision,seller_country_code,buyer_name,buyer_electronic_address,buyer_electronic_identifier,buyer_legal_registration_identifier,buyer_legal_registration_identifier_type,buyer_address_line_1,buyer_city,buyer_country_subdivision,buyer_country_code,sum_of_invoice_line_net_amount,invoice_total_amount_without_tax,invoice_total_tax_amount,invoice_total_amount_with_tax,amount_due_for_payment,tax_category_taxable_amount,tax_category_tax_amount,tax_category_code,tax_category_rate,invoice_line_identifier,invoiced_quantity,unit_of_measure_code,invoice_line_net_amount,item_net_price,item_gross_price,item_price_base_quantity,invoiced_item_tax_category_code,invoiced_item_tax_rate,vat_line_amount_in_aed,invoice_line_amount_in_aed,item_name,item_description
SCN-000007,expected_pass,,INV-2026-000001,2026-06-06,380,AED,388,2026-06-21,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,31,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 1423,2078361907,0235,LIC-1446951,TRADE_LICENSE,"Office 107, Business District",Abu Dhabi,SH,AE,1300.00,1300.00,65.00,1365.00,1365.00,1300.00,65.00,S,5.00,1,4.000,HUR,800.00,200.00,210.00,1.000,S,5.00,40.00,840.00,Consulting Hours,ERP tax configuration support
,expected_pass,,INV-2026-000001,2026-06-06,380,AED,388,2026-06-21,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,31,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 1423,2078361907,0235,LIC-1446951,TRADE_LICENSE,"Office 107, Business District",Abu Dhabi,SH,AE,1300.00,1300.00,65.00,1365.00,1365.00,1300.00,65.00,S,5.00,2,1.000,EA,500.00,500.00,525.00,1.000,S,5.00,25.00,525.00,Hardware Accessory Kit,Network accessories bundle
SCN-000008,expected_pass,,INV-2026-000002,2026-06-02,380,AED,388,2026-06-17,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 1199,1116145437,0235,LIC-4774668,TRADE_LICENSE,"Office 200, Business District",Abu Dhabi,AJ,AE,6150.00,6150.00,195.00,6345.00,6345.00,3900.00,195.00,S,5.00,1,1.000,EA,300.00,300.00,315.00,1.000,S,5.00,15.00,315.00,Export Documentation,Cross-border service documentation
,expected_pass,,INV-2026-000002,2026-06-02,380,AED,388,2026-06-17,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 1199,1116145437,0235,LIC-4774668,TRADE_LICENSE,"Office 200, Business District",Abu Dhabi,AJ,AE,6150.00,6150.00,195.00,6345.00,6345.00,2250.00,0.00,E,0.00,2,5.000,EA,2250.00,450.00,450.00,1.000,E,0.00,0.00,2250.00,Insurance Service,Business insurance fee
,expected_pass,,INV-2026-000002,2026-06-02,380,AED,388,2026-06-17,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 1199,1116145437,0235,LIC-4774668,TRADE_LICENSE,"Office 200, Business District",Abu Dhabi,AJ,AE,6150.00,6150.00,195.00,6345.00,6345.00,3900.00,195.00,S,5.00,3,12.000,EA,3600.00,300.00,315.00,1.000,S,5.00,180.00,3780.00,Export Documentation,Cross-border service documentation
SCN-000009,expected_pass,,INV-2026-000003,2026-09-17,380,AED,388,2026-10-17,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 1678,1248944957,0235,LIC-1113717,TRADE_LICENSE,"Office 32, Business District",Abu Dhabi,SH,AE,4850.00,4850.00,242.50,5092.50,5092.50,4850.00,242.50,S,5.00,1,5.000,HUR,1000.00,200.00,210.00,1.000,S,5.00,50.00,1050.00,Consulting Hours,ERP tax configuration support
,expected_pass,,INV-2026-000003,2026-09-17,380,AED,388,2026-10-17,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 1678,1248944957,0235,LIC-1113717,TRADE_LICENSE,"Office 32, Business District",Abu Dhabi,SH,AE,4850.00,4850.00,242.50,5092.50,5092.50,4850.00,242.50,S,5.00,2,11.000,EA,3850.00,350.00,367.50,1.000,S,5.00,192.50,4042.50,Software Subscription,Annual SaaS subscription
SCN-000010,expected_pass,,INV-2026-000004,2026-06-05,380,AED,388,2026-07-05,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 9837,4625809629,0235,LIC-9340430,TRADE_LICENSE,"Office 102, Business District",Dubai,AJ,AE,2950.00,2950.00,125.00,3075.00,3075.00,450.00,0.00,E,0.00,1,1.000,EA,450.00,450.00,450.00,1.000,E,0.00,0.00,450.00,Insurance Service,Business insurance fee
,expected_pass,,INV-2026-000004,2026-06-05,380,AED,388,2026-07-05,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 9837,4625809629,0235,LIC-9340430,TRADE_LICENSE,"Office 102, Business District",Dubai,AJ,AE,2950.00,2950.00,125.00,3075.00,3075.00,2500.00,125.00,S,5.00,2,2.000,HUR,400.00,200.00,210.00,1.000,S,5.00,20.00,420.00,Consulting Hours,ERP tax configuration support
,expected_pass,,INV-2026-000004,2026-06-05,380,AED,388,2026-07-05,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 9837,4625809629,0235,LIC-9340430,TRADE_LICENSE,"Office 102, Business District",Dubai,AJ,AE,2950.00,2950.00,125.00,3075.00,3075.00,2500.00,125.00,S,5.00,3,3.000,EA,1500.00,500.00,525.00,1.000,S,5.00,75.00,1575.00,Hardware Accessory Kit,Network accessories bundle
,expected_pass,,INV-2026-000004,2026-06-05,380,AED,388,2026-07-05,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 9837,4625809629,0235,LIC-9340430,TRADE_LICENSE,"Office 102, Business District",Dubai,AJ,AE,2950.00,2950.00,125.00,3075.00,3075.00,2500.00,125.00,S,5.00,4,2.000,EA,600.00,300.00,315.00,1.000,S,5.00,30.00,630.00,Export Documentation,Cross-border service documentation
SCN-000011,expected_pass,,INV-2026-000005,2026-12-17,380,AED,388,2027-01-01,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 2488,8108588329,0235,LIC-9888546,TRADE_LICENSE,"Office 123, Business District",Abu Dhabi,AZ,AE,4200.00,4200.00,210.00,4410.00,4410.00,4200.00,210.00,S,5.00,1,1.000,HUR,200.00,200.00,210.00,1.000,S,5.00,10.00,210.00,Consulting Hours,ERP tax configuration support
,expected_pass,,INV-2026-000005,2026-12-17,380,AED,388,2027-01-01,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 2488,8108588329,0235,LIC-9888546,TRADE_LICENSE,"Office 123, Business District",Abu Dhabi,AZ,AE,4200.00,4200.00,210.00,4410.00,4410.00,4200.00,210.00,S,5.00,2,8.000,EA,4000.00,500.00,525.00,1.000,S,5.00,200.00,4200.00,Hardware Accessory Kit,Network accessories bundle
SCN-000012,expected_pass,,INV-2026-000006,2026-03-10,380,AED,388,2026-03-17,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 3857,6106247967,0235,LIC-8795483,TRADE_LICENSE,"Office 67, Business District",Abu Dhabi,AJ,AE,1000.00,1000.00,50.00,1050.00,1050.00,1000.00,50.00,S,5.00,1,1.000,EA,500.00,500.00,525.00,1.000,S,5.00,25.00,525.00,Hardware Accessory Kit,Network accessories bundle
,expected_pass,,INV-2026-000006,2026-03-10,380,AED,388,2026-03-17,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 3857,6106247967,0235,LIC-8795483,TRADE_LICENSE,"Office 67, Business District",Abu Dhabi,AJ,AE,1000.00,1000.00,50.00,1050.00,1050.00,1000.00,50.00,S,5.00,2,1.000,EA,500.00,500.00,525.00,1.000,S,5.00,25.00,525.00,Hardware Accessory Kit,Network accessories bundle
SCN-000013,expected_pass,,INV-2026-000007,2026-03-24,380,AED,388,2026-03-31,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,31,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic Intl Buyer 7173,9986422884,0235,REG-570376,BUSINESS_REG,588 Commerce Street,Riyadh,RI,SA,7800.00,7800.00,300.00,8100.00,8100.00,1800.00,0.00,E,0.00,1,4.000,EA,1800.00,450.00,450.00,1.000,E,0.00,0.00,1800.00,Insurance Service,Business insurance fee
,expected_pass,,INV-2026-000007,2026-03-24,380,AED,388,2026-03-31,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,31,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic Intl Buyer 7173,9986422884,0235,REG-570376,BUSINESS_REG,588 Commerce Street,Riyadh,RI,SA,7800.00,7800.00,300.00,8100.00,8100.00,6000.00,300.00,S,5.00,2,5.000,HUR,1000.00,200.00,210.00,1.000,S,5.00,50.00,1050.00,Consulting Hours,ERP tax configuration support
,expected_pass,,INV-2026-000007,2026-03-24,380,AED,388,2026-03-31,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,31,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic Intl Buyer 7173,9986422884,0235,REG-570376,BUSINESS_REG,588 Commerce Street,Riyadh,RI,SA,7800.00,7800.00,300.00,8100.00,8100.00,6000.00,300.00,S,5.00,3,10.000,EA,5000.00,500.00,525.00,1.000,S,5.00,250.00,5250.00,Hardware Accessory Kit,Network accessories bundle
SCN-000014,expected_pass,,INV-2026-000008,2026-10-31,380,AED,388,2026-11-07,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,31,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 9054,1947621667,0235,LIC-7330751,TRADE_LICENSE,"Office 190, Business District",Dubai,AZ,AE,3000.00,3000.00,150.00,3150.00,3150.00,3000.00,150.00,S,5.00,1,10.000,EA,3000.00,300.00,315.00,1.000,S,5.00,150.00,3150.00,Export Documentation,Cross-border service documentation
SCN-000015,expected_pass,,INV-2026-000009,2026-05-29,380,AED,388,2026-06-28,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 6558,4074862706,0235,LIC-8676812,TRADE_LICENSE,"Office 15, Business District",Abu Dhabi,AZ,AE,6850.00,6850.00,342.50,7192.50,7192.50,6850.00,342.50,S,5.00,1,1.000,EA,350.00,350.00,367.50,1.000,S,5.00,17.50,367.50,Software Subscription,Annual SaaS subscription
,expected_pass,,INV-2026-000009,2026-05-29,380,AED,388,2026-06-28,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 6558,4074862706,0235,LIC-8676812,TRADE_LICENSE,"Office 15, Business District",Abu Dhabi,AZ,AE,6850.00,6850.00,342.50,7192.50,7192.50,6850.00,342.50,S,5.00,2,11.000,EA,5500.00,500.00,525.00,1.000,S,5.00,275.00,5775.00,Hardware Accessory Kit,Network accessories bundle
,expected_pass,,INV-2026-000009,2026-05-29,380,AED,388,2026-06-28,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 6558,4074862706,0235,LIC-8676812,TRADE_LICENSE,"Office 15, Business District",Abu Dhabi,AZ,AE,6850.00,6850.00,342.50,7192.50,7192.50,6850.00,342.50,S,5.00,3,5.000,HUR,1000.00,200.00,210.00,1.000,S,5.00,50.00,1050.00,Consulting Hours,ERP tax configuration support
SCN-000016,expected_pass,,INV-2026-000010,2026-10-05,380,AED,388,2026-10-20,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,30,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 5594,2915365166,0235,LIC-8238619,TRADE_LICENSE,"Office 197, Business District",Dubai,AZ,AE,600.00,600.00,30.00,630.00,630.00,600.00,30.00,S,5.00,1,3.000,HUR,600.00,200.00,210.00,1.000,S,5.00,30.00,630.00,Consulting Hours,ERP tax configuration support
SCN-000017,expected_fail,NEG06_TOTAL_MISMATCH,INV-2026-000011,2026-04-19,380,AED,388,2026-05-04,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 5181,8582222319,0235,LIC-1676884,TRADE_LICENSE,"Office 84, Business District",Abu Dhabi,AZ,AE,6250.00,6150.00,307.50,6457.50,6457.50,6150.00,307.50,S,5.00,1,10.000,EA,3500.00,350.00,367.50,1.000,S,5.00,175.00,3675.00,Software Subscription,Annual SaaS subscription
,expected_fail,NEG06_TOTAL_MISMATCH,INV-2026-000011,2026-04-19,380,AED,388,2026-05-04,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 5181,8582222319,0235,LIC-1676884,TRADE_LICENSE,"Office 84, Business District",Abu Dhabi,AZ,AE,6250.00,6150.00,307.50,6457.50,6457.50,6150.00,307.50,S,5.00,2,8.000,HUR,1600.00,200.00,210.00,1.000,S,5.00,80.00,1680.00,Consulting Hours,ERP tax configuration support
,expected_fail,NEG06_TOTAL_MISMATCH,INV-2026-000011,2026-04-19,380,AED,388,2026-05-04,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,42,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 5181,8582222319,0235,LIC-1676884,TRADE_LICENSE,"Office 84, Business District",Abu Dhabi,AZ,AE,6250.00,6150.00,307.50,6457.50,6457.50,6150.00,307.50,S,5.00,3,3.000,EA,1050.00,350.00,367.50,1.000,S,5.00,52.50,1102.50,Software Subscription,Annual SaaS subscription
SCN-000018,expected_pass,,INV-2026-000012,2026-07-31,380,AED,388,2026-08-15,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017,30,Synthetic Gulf Tech LLC,1009876543,0235,LIC-7894561,TRADE_LICENSE,100987654321000,VAT,"Office 1203, Sheikh Zayed Road",Dubai,DU,AE,Synthetic UAE Buyer 9018,4779143221,0235,LIC-4572422,TRADE_LICENSE,"Office 209, Business District",Dubai,SH,AE,6000.00,6000.00,300.00,6300.00,6300.00,6000.00,300.00,S,5.00,1,10.000,EA,5000.00,500.00,525.00,1.000,S,5.00,250.00,5250.00,Hardware Accessory Kit,Network accessories bundle
