LineID,InvoiceID,LineNumber,ItemCode,ItemDescription,Quantity,UnitOfMeasure,UnitPrice,LineAllowanceAmount,LineChargeAmount,LineExtensionAmount,TaxCategory,TaxRate,TaxAmount,ErrorScenarioCode
LINE-00000054,INV-2025-000019,1,ITM019,API Integration,1.000,EA,801.41,0.00,0.00,801.41,S,5.00,40.07,
LINE-00000055,INV-2025-000019,2,ITM032,Synthetic Item 32,1.000,H87,3622.59,0.00,0.00,3622.59,S,5.00,181.13,
LINE-00000056,INV-2025-000019,3,ITM036,Synthetic Item 36,1.000,H87,3654.08,0.00,0.00,3654.08,S,5.00,182.70,
LINE-00000057,INV-2025-000020,1,ITM009,Hardware Equipment,49.000,H87,2499.51,0.00,0.00,122475.99,S,5.00,6123.80,
LINE-00000058,INV-2025-000021,1,ITM034,Synthetic Item 34,2.000,H87,230.62,0.00,0.00,461.24,S,5.00,23.06,
LINE-00000059,INV-2025-000021,2,ITM016,Spare Parts,3.000,H87,160.93,0.00,0.00,482.79,S,5.00,24.14,
LINE-00000060,INV-2025-000022,1,ITM019,API Integration,2.000,EA,1203.99,0.00,0.00,2407.98,S,5.00,120.40,
LINE-00000061,INV-2025-000022,2,ITM003,IT Support,2.000,EA,276.91,0.00,0.00,553.82,S,5.00,27.69,
LINE-00000062,INV-2025-000022,3,ITM038,Synthetic Item 38,2.000,H87,237.84,0.00,0.00,475.68,S,5.00,23.78,
LINE-00000063,INV-2025-000023,1,ITM020,Hosting Fee,1.000,EA,496.90,0.00,0.00,496.90,S,5.00,24.85,
LINE-00000064,INV-2025-000024,1,ITM035,Synthetic Item 35,91.000,EA,799.04,0.00,0.00,72712.64,E,0.00,0.00,
LINE-00000065,INV-2025-000024,2,ITM002,Consulting Hours,16.000,EA,1539.22,0.00,0.00,24627.52,S,5.00,1231.38,
LINE-00000066,INV-2025-000024,3,ITM032,Synthetic Item 32,1.000,H87,2501.47,0.00,0.00,2501.47,S,5.00,125.07,
LINE-00000067,INV-2025-000025,1,ITM022,Finance Charge,7.000,EA,463.24,0.00,0.00,3242.68,E,0.00,0.00,
LINE-00000068,INV-2025-000025,2,ITM027,Packaging Fee,5.000,H87,78.25,0.00,0.00,391.25,S,5.00,19.56,
LINE-00000069,INV-2025-000026,1,ITM026,Delivery Charge,3.000,H87,41.18,0.00,0.00,123.54,S,5.00,6.18,
LINE-00000070,INV-2025-000027,1,ITM038,Synthetic Item 38,9.000,H87,203.12,0.00,0.00,1828.08,S,5.00,91.40,
LINE-00000071,INV-2025-000027,2,ITM011,Export Documentation,50.000,EA,331.06,0.00,0.00,16553.00,S,5.00,827.65,
LINE-00000072,INV-2025-000027,3,ITM033,Synthetic Item 33,7.000,EA,36.22,0.00,0.00,253.54,S,5.00,12.68,
LINE-00000073,INV-2025-000028,1,ITM015,Installation Service,1.000,EA,1115.64,0.00,0.00,1115.64,S,5.00,55.78,
LINE-00000074,INV-2025-000029,1,ITM038,Synthetic Item 38,1.000,H87,477.99,0.00,0.00,477.99,S,5.00,23.90,
LINE-00000075,INV-2025-000029,2,ITM001,Professional Services,14.000,EA,1351.36,0.00,0.00,18919.04,S,5.00,945.95,
LINE-00000076,INV-2025-000030,1,ITM032,Synthetic Item 32,8.000,H87,4838.53,0.00,0.00,38708.24,S,5.00,1935.41,
LINE-00000077,INV-2025-000031,1,ITM009,Hardware Equipment,2.000,H87,2771.74,0.00,0.00,5543.48,S,5.00,277.17,
LINE-00000078,INV-2025-000031,2,ITM018,Data Processing,4.000,EA,101.04,0.00,0.00,404.16,S,5.00,20.21,
LINE-00000079,INV-2025-000032,1,ITM015,Installation Service,49.000,EA,1416.09,0.00,0.00,69388.41,S,5.00,3469.42,
LINE-00000080,INV-2025-000033,1,ITM005,Cloud Services,1.000,EA,1297.31,0.00,0.00,1297.31,S,5.00,64.87,
LINE-00000081,INV-2025-000034,1,ITM003,IT Support,2.000,EA,266.08,0.00,0.00,532.16,S,5.00,26.61,
LINE-00000082,INV-2025-000034,2,ITM040,Synthetic Item 40,5.000,H87,4992.01,0.00,0.00,24960.05,S,5.00,1248.00,
LINE-00000083,INV-2025-000034,3,ITM038,Synthetic Item 38,9.000,H87,257.18,0.00,0.00,2314.62,S,5.00,115.73,
LINE-00000084,INV-2025-000034,4,ITM020,Hosting Fee,21.000,EA,152.75,0.00,0.00,3207.75,S,5.00,160.39,
LINE-00000085,INV-2025-000034,5,ITM035,Synthetic Item 35,9.000,EA,758.13,0.00,0.00,6823.17,E,0.00,0.00,
LINE-00000086,INV-2025-000035,1,ITM026,Delivery Charge,1.000,H87,36.10,0.00,0.00,36.10,S,5.00,1.81,
LINE-00000087,INV-2025-000036,1,ITM016,Spare Parts,1.000,H87,306.96,0.00,0.00,306.96,S,5.00,15.35,
LINE-00000088,INV-2025-000036,2,ITM019,API Integration,10.000,EA,658.46,0.00,0.00,6584.60,S,5.00,329.23,
LINE-00000089,INV-2025-000036,3,ITM010,Shipping and Handling,1.000,EA,55.99,0.00,0.00,55.99,S,5.00,2.80,
LINE-00000090,INV-2025-000036,4,ITM003,IT Support,1.000,EA,308.33,0.00,0.00,308.33,S,5.00,15.42,
LINE-00000091,INV-2025-000037,1,ITM026,Delivery Charge,8.000,H87,83.91,0.00,0.00,671.28,S,5.00,33.56,
LINE-00000092,INV-2025-000037,2,ITM020,Hosting Fee,2.000,EA,499.43,0.00,0.00,998.86,S,5.00,49.94,
LINE-00000093,INV-2025-000037,3,ITM003,IT Support,6.000,EA,178.92,0.00,0.00,1073.52,S,5.00,53.68,
LINE-00000094,INV-2025-000038,1,ITM001,Professional Services,81.000,EA,1628.57,0.00,0.00,131914.17,S,5.00,6595.71,
LINE-00000095,INV-2025-000038,2,ITM032,Synthetic Item 32,39.000,H87,3655.60,0.00,0.00,142568.40,S,5.00,7128.42,
LINE-00000096,INV-2025-000039,1,ITM010,Shipping and Handling,41.000,EA,86.87,0.00,0.00,3561.67,S,5.00,178.08,
LINE-00000097,INV-2025-000040,1,ITM025,Promotional Discount,45.000,H87,63.16,0.00,133.29,2975.49,S,5.00,148.77,
LINE-00000098,INV-2025-000041,1,ITM019,API Integration,10.000,EA,842.60,0.00,0.00,8426.00,S,5.00,421.30,
LINE-00000099,INV-2025-000041,2,ITM034,Synthetic Item 34,40.000,H87,197.99,0.00,0.00,7919.60,S,5.00,395.98,
LINE-00000100,INV-2025-000041,3,ITM031,Synthetic Item 31,2.000,EA,1204.78,0.00,0.00,2409.56,S,5.00,120.48,
LINE-00000101,INV-2025-000042,1,ITM038,Synthetic Item 38,1.000,H87,106.53,0.00,0.00,106.53,S,5.00,5.33,
LINE-00000102,INV-2025-000042,2,ITM014,Warranty Extension,1.000,EA,148.40,0.00,0.00,148.40,S,5.00,7.42,
LINE-00000103,INV-2025-000042,3,ITM019,API Integration,1.000,EA,1507.40,0.00,0.00,1507.40,S,5.00,75.37,
LINE-00000104,INV-2025-000042,4,ITM018,Data Processing,1.000,EA,262.61,0.00,0.00,262.61,S,5.00,13.13,
LINE-00000105,INV-2025-000043,1,ITM003,IT Support,1.000,EA,185.46,0.00,0.00,185.46,S,5.00,9.27,
LINE-00000106,INV-2025-000043,2,ITM025,Promotional Discount,1.000,H87,27.07,0.00,0.00,27.07,S,5.00,1.35,
LINE-00000107,INV-2025-000043,3,ITM032,Synthetic Item 32,32.000,H87,2448.56,0.00,0.00,78353.92,S,5.00,3917.70,
LINE-00000108,INV-2025-000043,4,ITM034,Synthetic Item 34,35.000,H87,317.28,0.00,0.00,11104.80,S,5.00,555.24,
LINE-00000109,INV-2025-000044,1,ITM033,Synthetic Item 33,1.000,EA,80.70,0.00,0.00,80.70,S,5.00,4.04,
LINE-00000110,INV-2025-000044,2,ITM002,Consulting Hours,1.000,EA,1574.37,0.00,0.00,1574.37,S,5.00,78.72,
LINE-00000111,INV-2025-000044,3,ITM040,Synthetic Item 40,1.000,H87,3150.11,0.00,0.00,3150.11,S,5.00,157.51,
LINE-00000112,INV-2025-000045,1,ITM036,Synthetic Item 36,10.000,H87,3686.10,1474.44,0.00,35386.56,S,5.00,1769.33,
LINE-00000113,INV-2025-000045,2,ITM032,Synthetic Item 32,33.000,H87,4444.02,5866.10,0.00,140786.56,S,5.00,7039.33,
LINE-00000114,INV-2025-000045,3,ITM003,IT Support,37.000,EA,191.52,283.45,0.00,6802.79,S,5.00,340.14,
LINE-00000115,INV-2025-000045,4,ITM033,Synthetic Item 33,2.000,EA,34.11,2.73,0.00,65.49,S,5.00,3.27,
LINE-00000116,INV-2025-000045,5,ITM003,IT Support,36.000,EA,384.32,553.42,0.00,13282.10,S,5.00,664.11,
LINE-00000117,INV-2025-000045,6,ITM036,Synthetic Item 36,1.000,H87,3815.16,152.61,0.00,3662.55,S,5.00,183.13,
LINE-00000118,INV-2025-000046,1,ITM020,Hosting Fee,55.000,EA,172.47,94.86,0.00,9390.99,S,5.00,469.55,
LINE-00000119,INV-2025-000047,1,ITM016,Spare Parts,1.000,H87,287.61,0.00,0.00,287.61,S,5.00,14.38,
LINE-00000120,INV-2025-000048,1,ITM018,Data Processing,10.000,EA,454.80,0.00,0.00,4548.00,S,5.00,227.40,
LINE-00000121,INV-2025-000049,1,ITM040,Synthetic Item 40,4.000,H87,2765.12,0.00,93.18,11153.66,S,5.00,557.68,
LINE-00000122,INV-2025-000049,2,ITM016,Spare Parts,1.000,H87,115.57,0.00,0.97,116.54,S,5.00,5.83,
LINE-00000123,INV-2025-000049,3,ITM033,Synthetic Item 33,1.000,EA,38.21,0.00,0.33,38.54,S,5.00,1.93,
LINE-00000124,INV-2025-000050,1,ITM027,Packaging Fee,8.000,H87,53.59,0.00,0.00,428.72,S,5.00,21.44,
LINE-00000125,INV-2025-000050,2,ITM005,Cloud Services,1.000,EA,561.24,0.00,0.00,561.24,S,5.00,28.06,
LINE-00000126,INV-2025-000050,3,ITM012,International Freight,56.000,EA,4358.49,0.00,0.00,244075.44,S,5.00,12203.77,
LINE-00000127,INV-2025-000050,4,ITM033,Synthetic Item 33,8.000,EA,26.63,0.00,0.00,213.04,S,5.00,10.65,
LINE-00000128,INV-2025-000050,5,ITM032,Synthetic Item 32,3.000,H87,3354.09,0.00,0.00,10062.27,S,5.00,503.11,
LINE-00000129,INV-2025-000051,1,ITM017,Licensing Fee,3.000,EA,1526.56,45.80,0.00,4533.88,S,5.00,226.69,
LINE-00000130,INV-2025-000051,2,ITM014,Warranty Extension,37.000,EA,228.87,84.68,0.00,8383.51,S,5.00,419.18,
LINE-00000131,INV-2025-000051,3,ITM001,Professional Services,8.000,EA,1488.20,119.05,0.00,11786.55,S,5.00,589.33,
LINE-00000132,INV-2025-000052,1,ITM013,Export Goods,2.000,H87,4361.64,0.00,0.00,8723.28,S,5.00,436.16,
LINE-00000133,INV-2025-000053,1,ITM009,Hardware Equipment,1.000,H87,4604.39,0.00,0.00,4604.39,S,5.00,230.22,
LINE-00000134,INV-2025-000053,2,ITM008,Hardware Accessories,1.000,H87,379.00,0.00,0.00,379.00,S,5.00,18.95,
LINE-00000135,INV-2025-000054,1,ITM027,Packaging Fee,4.000,H87,57.16,0.00,0.00,228.64,S,5.00,11.43,
LINE-00000136,INV-2025-000054,2,ITM040,Synthetic Item 40,42.000,H87,4553.15,0.00,0.00,191232.30,S,5.00,9561.62,
LINE-00000137,INV-2025-000055,1,ITM020,Hosting Fee,2.000,EA,359.23,0.00,0.00,718.46,S,5.00,35.92,
LINE-00000138,INV-2025-000055,2,ITM007,Maintenance Fee,40.000,EA,185.61,0.00,0.00,7424.40,S,5.00,371.22,
LINE-00000139,INV-2025-000056,1,ITM006,Training Session,6.000,EA,155.47,0.00,0.00,932.82,S,5.00,46.64,
LINE-00000140,INV-2025-000057,1,ITM016,Spare Parts,2.000,H87,175.03,0.00,0.00,350.06,S,5.00,17.50,
LINE-00000141,INV-2025-000057,2,ITM011,Export Documentation,3.000,EA,462.55,0.00,0.00,1387.65,S,5.00,69.38,
LINE-00000142,INV-2025-000057,3,ITM004,Software Subscription,1.000,EA,221.11,0.00,0.00,221.11,S,5.00,11.06,
LINE-00000143,INV-2025-000057,4,ITM031,Synthetic Item 31,6.000,EA,1885.47,0.00,0.00,11312.82,S,5.00,565.64,
LINE-00000144,INV-2025-000058,1,ITM036,Synthetic Item 36,1.000,H87,2199.12,0.00,0.00,2199.12,S,5.00,109.96,
LINE-00000145,INV-2025-000059,1,ITM018,Data Processing,32.000,EA,355.49,0.00,0.00,11375.68,S,5.00,568.78,
LINE-00000146,INV-2025-000059,2,ITM024,Education Service,1.000,EA,117.21,0.00,0.00,117.21,E,0.00,0.00,
LINE-00000147,INV-2025-000059,3,ITM004,Software Subscription,45.000,EA,289.19,0.00,0.00,13013.55,S,5.00,650.68,
LINE-00000148,INV-2025-000059,4,ITM009,Hardware Equipment,13.000,H87,3886.10,0.00,0.00,50519.30,S,5.00,2525.97,
LINE-00000149,INV-2025-000059,5,ITM005,Cloud Services,2.000,EA,1600.48,0.00,0.00,3200.96,S,5.00,160.05,
LINE-00000150,INV-2025-000059,6,ITM001,Professional Services,32.000,EA,623.18,0.00,0.00,19941.76,S,5.00,997.09,
LINE-00000151,INV-2025-000059,7,ITM002,Consulting Hours,1.000,EA,681.27,0.00,0.00,681.27,S,5.00,34.06,
LINE-00000152,INV-2025-000059,8,ITM017,Licensing Fee,3.000,EA,623.27,0.00,0.00,1869.81,S,5.00,93.49,
LINE-00000153,INV-2025-000060,1,ITM010,Shipping and Handling,1.000,EA,12.95,0.00,0.00,12.95,S,5.00,0.65,
LINE-00000154,INV-2025-000060,2,ITM025,Promotional Discount,25.000,H87,19.51,0.00,0.00,487.75,S,5.00,24.39,
LINE-00000155,INV-2025-000060,3,ITM023,Medical Service,1.000,EA,1799.67,0.00,0.00,1799.67,E,0.00,0.00,
LINE-00000156,INV-2025-000061,1,ITM005,Cloud Services,80.000,EA,1647.84,0.00,0.00,131827.20,S,5.00,6591.36,
LINE-00000157,INV-2025-000061,2,ITM027,Packaging Fee,1.000,H87,49.49,0.00,0.00,49.49,S,5.00,2.47,
LINE-00000158,INV-2025-000062,1,ITM001,Professional Services,3.000,EA,1786.66,0.00,0.00,5359.98,S,5.00,268.00,
LINE-00000159,INV-2025-000063,1,ITM002,Consulting Hours,1.000,EA,1554.85,0.00,0.00,1554.85,S,5.00,77.74,
LINE-00000160,INV-2025-000063,2,ITM007,Maintenance Fee,1.000,EA,357.73,0.00,0.00,357.73,S,5.00,17.89,
LINE-00000161,INV-2025-000063,3,ITM017,Licensing Fee,4.000,EA,1086.26,0.00,0.00,4345.04,S,5.00,217.25,
LINE-00000162,INV-2025-000063,4,ITM016,Spare Parts,10.000,H87,174.39,0.00,0.00,1743.90,S,5.00,87.20,
LINE-00000163,INV-2025-000064,1,ITM012,International Freight,1.000,EA,3243.95,0.00,0.00,3243.95,S,5.00,162.20,
LINE-00000164,INV-2025-000064,2,ITM003,IT Support,1.000,EA,228.59,0.00,0.00,228.59,S,5.00,11.43,
LINE-00000165,INV-2025-000064,3,ITM016,Spare Parts,2.000,H87,393.68,0.00,0.00,787.36,S,5.00,39.37,
LINE-00000166,INV-2025-000064,4,ITM020,Hosting Fee,30.000,EA,168.10,0.00,0.00,5043.00,S,5.00,252.15,
LINE-00000167,INV-2025-000065,1,ITM018,Data Processing,2.000,EA,474.02,0.00,0.00,948.04,S,5.00,47.40,
LINE-00000168,INV-2025-000066,1,ITM006,Training Session,42.000,EA,225.43,0.00,0.00,9468.06,S,5.00,473.40,
LINE-00000169,INV-2025-000066,2,ITM003,IT Support,3.000,EA,421.23,0.00,0.00,1263.69,S,5.00,63.18,
LINE-00000170,INV-2025-000066,3,ITM018,Data Processing,1.000,EA,475.22,0.00,0.00,475.22,S,5.00,23.76,
LINE-00000171,INV-2025-000066,4,ITM022,Finance Charge,2.000,EA,285.06,0.00,0.00,570.12,E,0.00,0.00,
LINE-00000172,INV-2025-000067,1,ITM028,Customs Handling,1.000,EA,1946.61,0.00,0.00,1946.61,S,5.00,97.33,
LINE-00000173,INV-2025-000067,2,ITM023,Medical Service,45.000,EA,1431.14,0.00,0.00,64401.30,E,0.00,0.00,
LINE-00000174,INV-2025-000067,3,ITM029,Overseas Support,88.000,EA,1362.30,0.00,0.00,119882.40,S,5.00,5994.12,
LINE-00000175,INV-2025-000068,1,ITM031,Synthetic Item 31,1.000,EA,1707.28,0.00,0.00,1707.28,S,5.00,85.36,
LINE-00000176,INV-2025-000068,2,ITM033,Synthetic Item 33,68.000,EA,62.34,0.00,0.00,4239.12,S,5.00,211.96,
LINE-00000177,INV-2025-000068,3,ITM019,API Integration,2.000,EA,1637.92,0.00,0.00,3275.84,S,5.00,163.79,
LINE-00000178,INV-2025-000069,1,ITM016,Spare Parts,1.000,H87,158.39,0.00,0.00,158.39,S,5.00,7.92,
LINE-00000179,INV-2025-000070,1,ITM014,Warranty Extension,2.000,EA,243.26,0.00,0.00,486.52,S,5.00,24.33,
LINE-00000180,INV-2025-000070,2,ITM025,Promotional Discount,44.000,H87,78.34,0.00,0.00,3446.96,S,5.00,172.35,
LINE-00000181,INV-2025-000071,1,ITM014,Warranty Extension,3.000,EA,143.29,0.00,0.00,429.87,S,5.00,21.49,
LINE-00000182,INV-2025-000071,2,ITM006,Training Session,3.000,EA,122.51,0.00,0.00,367.53,S,5.00,18.38,
LINE-00000183,INV-2025-000072,1,ITM037,Synthetic Item 37,6.000,EA,51.31,0.00,0.00,307.86,S,5.00,15.39,
LINE-00000184,INV-2025-000072,2,ITM038,Synthetic Item 38,1.000,H87,318.08,0.00,0.00,318.08,S,5.00,15.90,
LINE-00000185,INV-2025-000072,3,ITM029,Overseas Support,8.000,EA,1184.08,0.00,0.00,9472.64,S,5.00,473.63,
LINE-00000186,INV-2025-000073,1,ITM005,Cloud Services,1.000,EA,1658.80,0.00,0.00,1658.80,S,5.00,82.94,
LINE-00000187,INV-2025-000073,2,ITM032,Synthetic Item 32,35.000,H87,3189.86,0.00,0.00,111645.10,S,5.00,5582.26,
LINE-00000188,INV-2025-000074,1,ITM039,Synthetic Item 39,8.000,EA,1019.51,0.00,0.00,8156.08,S,5.00,407.80,
LINE-00000189,INV-2025-000074,2,ITM033,Synthetic Item 33,1.000,EA,46.25,0.00,0.00,46.25,S,5.00,2.31,
LINE-00000190,INV-2025-000074,3,ITM016,Spare Parts,1.000,H87,245.10,0.00,0.00,245.10,S,5.00,12.26,
LINE-00000191,INV-2025-000075,1,ITM019,API Integration,4.000,EA,1367.04,0.00,0.00,5468.16,S,5.00,273.41,
LINE-00000192,INV-2025-000075,2,ITM017,Licensing Fee,3.000,EA,1825.96,0.00,0.00,5477.88,S,5.00,273.89,
LINE-00000193,INV-2025-000075,3,ITM014,Warranty Extension,1.000,EA,343.33,0.00,0.00,343.33,S,5.00,17.17,
LINE-00000194,INV-2025-000076,1,ITM024,Education Service,2.000,EA,158.98,0.00,0.00,317.96,E,0.00,0.00,
LINE-00000195,INV-2025-000076,2,ITM019,API Integration,2.000,EA,943.48,0.00,0.00,1886.96,S,5.00,94.35,
LINE-00000196,INV-2025-000076,3,ITM036,Synthetic Item 36,1.000,H87,2910.14,0.00,0.00,2910.14,S,5.00,145.51,
LINE-00000197,INV-2025-000077,1,ITM016,Spare Parts,3.000,H87,183.51,0.00,0.00,550.53,S,5.00,27.53,
LINE-00000198,INV-2025-000078,1,ITM030,Digital Service Export,1.000,EA,920.16,0.00,0.00,920.16,S,5.00,46.01,
LINE-00000199,INV-2025-000078,2,ITM020,Hosting Fee,6.000,EA,200.23,0.00,0.00,1201.38,S,5.00,60.07,
LINE-00000200,INV-2025-000078,3,ITM038,Synthetic Item 38,4.000,H87,447.22,0.00,0.00,1788.88,S,5.00,89.44,
LINE-00000201,INV-2025-000079,1,ITM034,Synthetic Item 34,2.000,H87,427.02,0.00,0.00,854.04,S,5.00,42.70,
LINE-00000202,INV-2025-000079,2,ITM020,Hosting Fee,2.000,EA,493.17,0.00,0.00,986.34,S,5.00,49.32,
LINE-00000203,INV-2025-000080,1,ITM018,Data Processing,1.000,EA,110.04,0.00,0.00,110.04,S,5.00,5.50,
LINE-00000204,INV-2025-000080,2,ITM019,API Integration,1.000,EA,1975.36,0.00,0.00,1975.36,S,5.00,98.77,
LINE-00000205,INV-2025-000081,1,ITM008,Hardware Accessories,1.000,H87,223.16,0.00,0.00,223.16,S,5.00,11.16,
